ID_INMUEBLE,ID _ESTADO,ESTADO,DENOMINACIÓN_INMUEBLE,NOMBRE_VIALIDAD,TIPO_ASENTAMIENTO,NATURALEZA_INMUEBLE,TIPO_INMUEBLE,USO_INMUEBLE
1,13,Hidalgo,Una Fracción del Predio Rústico Papalomaxtla,Acceso a la comunidad de Yemila,Barrio,Rústica,Terreno,Escuela Telesecundaria 610
2,13,Hidalgo,Áreas en Fracciónamiento Nuevo Actopan,Pedro Moreno,Unidad habitacional,Urbana,Terreno,"Altar religioso, área verde, Parque y cancha de usos múltiples techada."
3,13,Hidalgo,Áreas en Fracciónamiento Juan Pablo II,Comunidad Daxtha,Unidad habitacional,Urbana,Terreno,Baldío
4,13,Hidalgo,Área en Fracciónamiento Privada de Buenos Aires,20 de noviembre esquina calle Pino Suárez,Unidad habitacional,Urbana,Terreno,Cancha y área verde
5,13,Hidalgo,Predio Urbano Chapultepec,Chapultepec esquina con Cuauhtémoc.,Colonia,Urbana,Terreno,Unidad de desarrollo Regional
6,13,Hidalgo,Predio Urbano La Fundición,Central,Colonia,Urbana,Terreno,Caseta y Antena C-4 de la Secretaría de Seguridad Pública
7,13,Hidalgo,Predio Urbano El Tránsito,Sobre la carretera Actopan Tula,Colonia,Urbana,Terreno,Subestación Eléctrica de Actopan
8,13,Hidalgo,Predio El Olvido,Melchor Ocampo y 24 de febrero,Colonia,Urbana,Terreno,Baldío
9,13,Hidalgo,Rosa de Castilla,Domicilio conocido,Ranchería,Urbana,Terreno,Preescolar Comunitario de la CONAFE
10,13,Hidalgo,Ex Hacienda El Tepozán,Domicilio conocido,Ranchería,Urbana,Terreno,"Escuela Primaria Benito Juárez, Telesecundaria número 184, Preescolar Vicente Guerrero"
11,13,Hidalgo,Predio Urbano Marañon,Lote 9 de la manzana 115 de la zona 4,Pueblo,Urbana,Terreno,Vía pública ingreso Hospital Regional de Apan
12,13,Hidalgo,Una Fracción del Predio Rústico (Terreno junto al Canal y Llorones),Ex Rancho el Marañon,Barrio,Rústica,Terreno,Servidumbre de Paso
13,13,Hidalgo,Una Fracción del Predio Rústico Urbano,Domicilio conocido,Pueblo,Urbana,Terreno,Servidumbre de Paso
14,13,Hidalgo,Predio Rústico Tlalayote,"Lote número 50 de la manzana 20, zona 4",Ejido,Urbana,Terreno,Baldío
15,13,Hidalgo,"Parcela 16, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
16,13,Hidalgo,"Parcela 17, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
17,13,Hidalgo,"Parcela 18, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
18,13,Hidalgo,"Parcela 19, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
19,13,Hidalgo,"Parcela 20, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
20,13,Hidalgo,"Parcela 35, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
21,13,Hidalgo,Parcela 50 Ejido Tepetates,Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
22,13,Hidalgo,Parcela 51 Ejido Tepetates,Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
23,13,Hidalgo,"Parcela 52, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
24,13,Hidalgo,"Parcela 53, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
25,13,Hidalgo,"Parcela 54, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
26,13,Hidalgo,"Parcela 64, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
27,13,Hidalgo,"Parcela 65, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
28,13,Hidalgo,"Parcela 66, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
29,13,Hidalgo,"Parcela 67, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
30,13,Hidalgo,"Parcela 69, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
31,13,Hidalgo,"Parcela 70, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
32,13,Hidalgo,"Parcela 96, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
33,13,Hidalgo,"Parcela 98, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
34,13,Hidalgo,"Parcela 99, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
35,13,Hidalgo,"Parcela 105, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
36,13,Hidalgo,"Parcela 113, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
37,13,Hidalgo,"Parcela 114, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
38,13,Hidalgo,"Parcela 115, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
39,13,Hidalgo,"Parcela 116, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
40,13,Hidalgo,"Parcela 117, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
41,13,Hidalgo,"Parcela 118, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
42,13,Hidalgo,"Parcela 119, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
43,13,Hidalgo,"Parcela 120, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
44,13,Hidalgo,"Parcela 121, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
45,13,Hidalgo,"Parcela 122, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
46,13,Hidalgo,"Parcela 123, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
47,13,Hidalgo,"Parcela 200, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
48,13,Hidalgo,"Parcela 201, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
49,13,Hidalgo,"Parcela 202, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
50,13,Hidalgo,"Parcela 203, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
51,13,Hidalgo,"Parcela 204, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
52,13,Hidalgo,"Parcela 205, Ejido Tepetates",Ejido Tepetates,Ejido,Rústica,Terreno,Baldío
53,13,Hidalgo,Parcela 61 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
54,13,Hidalgo,Parcela 68 del Ejido Acopinalco,Ejido Acopinalco,Ejido,Rústica,Terreno,Baldío
