ID_INMUEBLE,ID _ESTADO,ESTADO,INSTITUCIÓN_A_CARGO_DEL_INMUEBLE,DENOMINACIÓN_INMUEBLE,TIPO_VIALIDAD,NOMBRE_VIALIDAD,NUMERO_EXTERIOR,NUMERO_INTERIOR,TIPO_ASENTAMIENTO,ID_LOCALIDAD,NOMBRE_LOCALIDAD,ID_MUNICIPIO,MUNICIPIO,CODIGO_POSTAL,NATURALEZA_INMUEBLE,TIPO_INMUEBLE,USO_INMUEBLE,OPERACION_ORIGEN,VALOR_CATASTRAL,TITULO_PROPIEDAD
1,13,Hidalgo,Oficialía Mayor,Una Fracción del Predio Rústico Papalomaxtla,Carretera,Acceso a la comunidad de Yemila,sin número,sin número,Barrio,0001,Acaxochitlán,02,Acaxochitlán,43721,Rústica,Terreno,Escuela Telesecundaria 610,Donación a favor de Gobierno del Estado de Hidalgo,67982.36,"Escritura Pública número 23,834, volumen 487 del 21 de enero de 2016, protocolizada anate la Notaría Pública número 18 del municipio de Pachuca de Soto, Hidalgo."
2,13,Hidalgo,Oficialía Mayor,Áreas en Fracciónamiento Nuevo Actopan,Calle,Pedro Moreno,sin número,sin número,Unidad habitacional,0001,Actopan,03,Actopan,42500,Urbana,Terreno,"Altar religioso, área verde, Parque y cancha de usos múltiples techada.",Donación a favor de Gobierno del Estado de Hidalgo,808228.69,"Escritura Pública número 24422, Volumen 448 de fecha 13 de diciembre de 1999, Notaría Pública número 1 de Zimapan, Hidalgo."
3,13,Hidalgo,Oficialía Mayor,Áreas en Fracciónamiento Juan Pablo II,Calle,Comunidad Daxtha,sin número,sin número,Unidad habitacional,0012,El Daxtha,03,Actopan,42604,Urbana,Terreno,Baldío,Donación a favor de Gobierno del Estado de Hidalgo,2146826.95,"Escritura Pública número 31997, Volúmen 24 de fecha 10 de diciembre de 2013, Notaría Pública número 1 de Actopan, Hidalgo."
4,13,Hidalgo,Oficialía Mayor,Área en Fracciónamiento Privada de Buenos Aires,Calle,20 de noviembre esquina calle Pino Suárez,sin número,sin número,Unidad habitacional,0001,comunidad Cañada de Aviación,03,Actopan,42604,Urbana,Terreno,Cancha y área verde,Donación a favor de Gobierno del Estado de Hidalgo,1931632.21,"Escritura Pública número 27,739 Volumen 1573 de fecha 08 de junio de 2016, ante la fe de la Lic. Lilia Reyes Morales de la Notaría Pública número 13 de Pachuca de Soto, Hidalgo."
5,13,Hidalgo,Oficialía Mayor,Predio Urbano Chapultepec,Calle,Chapultepec esquina con Cuauhtémoc.,60,sin número,Colonia,0001,Actopan,03,Actopan,42500,Urbana,Terreno,Unidad de desarrollo Regional,Procedimiento de Ejecución Fiscal,132277.35,"Escritura Pública número 13944 Volúmen 200 de fecha 19 de mayo de 1994, Notaría Pública número 1 de Zimapan, Hidalgo."
6,13,Hidalgo,Oficialía Mayor,Predio Urbano La Fundición,Calle,Central,sin número,sin número,Colonia,0001,Actopan,03,Actopan,42524,Urbana,Terreno,Caseta y Antena C-4 de la Secretaría de Seguridad Pública,Compra no genera póliza solo se registra la alta,176023.55,"Escritura Pública número 15252 Volúmen 298 de fecha 08 de febrero de 2002, Notaría Pública número 2 de Actopan, Hidalgo."
7,13,Hidalgo,Oficialía Mayor,Predio Urbano El Tránsito,Carretera,Sobre la carretera Actopan Tula,sin número,sin número,Colonia,0001,Actopan,03,Actopan,42505,Urbana,Terreno,Subestación Eléctrica de Actopan,Reversión a Gobierno,58698069.91,"Decreto 5 de marzo del 2012. Escritura Pública número 10,129 de fecha 30 de abril de 1996 ante la fe del Lic. Sergio Barragán Mejía, Notario número 2 de Actopan, Hidalgo."
8,13,Hidalgo,Oficialía Mayor,Predio El Olvido,Calle,Melchor Ocampo y 24 de febrero,sin número,sin número,Colonia,0011,Dajiedhi,03,Actopan,42603,Urbana,Terreno,Baldío,Donación a favor de Gobierno del Estado de Hidalgo,1721311.43,"Escritura Pública número 9818 Volúmen 245 de fecha 11 de abril de 2016, Notaría Pública número 3 de Actopan, Hidalgo."
9,13,Hidalgo,Oficialía Mayor,Rosa de Castilla,Calle,Domicilio conocido,sin número,sin número,Ranchería,0002,Agua blanca,04,Agua Blanca de Iturbide,43468,Urbana,Terreno,Preescolar Comunitario de la CONAFE,Donación a favor de Gobierno del Estado de Hidalgo,59314.96,"Escritura Pública número 4142, Libro 75, Folios del 14980 del 14983 de fecha 02 de diciembre de 2014, ante el Lic. Lorena González González de la Notaría Pública número 1 de Tenango de Doria, Hidalgo."
10,13,Hidalgo,Oficialía Mayor,Ex Hacienda El Tepozán,Calle,Domicilio conocido,sin número,sin número,Ranchería,0051,El Tepozán,07,Almoloya,43940,Urbana,Terreno,"Escuela Primaria Benito Juárez, Telesecundaria número 184, Preescolar Vicente Guerrero",Donación a favor de Gobierno del Estado de Hidalgo,111868.34,"Escritura Pública número 18 de fecha 25 de junio de 1942, Notaría Pública número 5 de Apan, Hidalgo."
11,13,Hidalgo,Oficialía Mayor,Predio Urbano Marañon,Calle,Lote 9 de la manzana 115 de la zona 4,lote 9,sin número,Pueblo,0151,Marañón,08,Apan,43900,Urbana,Terreno,Vía pública ingreso Hospital Regional de Apan,Compra no genera póliza solo se registra la alta,6440355.57,"Escritura Pública número 18,797 de fecha 11 de junio de 2014, Notaría Pública número 3 de Tula de Allende, Hidalgo."
12,13,Hidalgo,Oficialía Mayor,Una Fracción del Predio Rústico (Terreno junto al Canal y Llorones),Carretera,Ex Rancho el Marañon,sin número,sin número,Barrio,0001,Apan,08,Apan,43900,Rústica,Terreno,Servidumbre de Paso,Compra no genera póliza solo se registra la alta,2146408.35,"Escritura Pública número 16689 de Fecha 10 de julio de 2015, Notaría Pública número 15 de Pachuca de Soto, Hidalgo."
13,13,Hidalgo,Oficialía Mayor,Una Fracción del Predio Rústico Urbano,Calle,Domicilio conocido,sin número,sin número,Pueblo,0001,Apan,08,Apan,43900,Urbana,Terreno,Servidumbre de Paso,Donación a favor de Gobierno del Estado de Hidalgo,328048.47,"Escritura Pública número 116690 de fecha 10 de julio de 2015, Ante la Notaría Pública número 15 de Pachuca de Soto, Hidalgo."
14,13,Hidalgo,Oficialía Mayor,Predio Rústico Tlalayote,Calle,"Lote número 50 de la manzana 20, zona 4",sin número,sin número,Ejido,0005,Tlalayote,08,Apan,43915,Urbana,Terreno,Baldío,Donación a favor de Gobierno del Estado de Hidalgo,2006652.69,Título de Propiedad número 000000088782 de fecha 26 de octubre de 2005.
15,13,Hidalgo,Oficialía Mayor,"Parcela 16, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,928028.29,"Escritura Pública número 3659, Volumen 75, Folio 14846 de fecha 6 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
16,13,Hidalgo,Oficialía Mayor,"Parcela 17, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,10568306.52,"Escritura Pública número 3681, Volumen 76, Folio 15,018 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
17,13,Hidalgo,Oficialía Mayor,"Parcela 18, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,3376547.78,"Escritura Pública número 3777, Volumen 79, Folio 15696 de fecha 1 de julio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
18,13,Hidalgo,Oficialía Mayor,"Parcela 19, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,2769472.09,"Escritura Pública número 3665, Volumen 75, folio 14895 de fecha 6 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
19,13,Hidalgo,Oficialía Mayor,"Parcela 20, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,1112906.4,"Escritura Pública número 3721, Volumen 77, Folio 15345 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
20,13,Hidalgo,Oficialía Mayor,"Parcela 35, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,8539738.7,"Escritura Pública número 3682, Volumen 76, Folio 15,027 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
21,13,Hidalgo,Oficialía Mayor,Parcela 50 Ejido Tepetates,Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,7418257.26,"Escritura Pública número 3695, Volumen 76, Folio 15,136 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
22,13,Hidalgo,Oficialía Mayor,Parcela 51 Ejido Tepetates,Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,5767433.58,"Escritura Pública número 3655, Volumen 75, Folio 14818 de fecha 2 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
23,13,Hidalgo,Oficialía Mayor,"Parcela 52, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,6755540.85,"Escritura Pública número 3702, Volumen 76, Folio 15,179 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
24,13,Hidalgo,Oficialía Mayor,"Parcela 53, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,6400820.15,"Escritura Pública número 3703, Volumen 76, Folio 15,188 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
25,13,Hidalgo,Oficialía Mayor,"Parcela 54, Ejido Tepetates",Carretera,Ejido Tepetates,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica,Terreno,Baldío,Compra no genera póliza solo se registra la alta,4166226.3,"Escritura Pública número 3705, Volumen 77, Folio 15,201 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
