ID_INMUEBLE,INSTITUCIÓN_A_CARGO_DEL_INMUEBLE,TITULO_PROPIEDAD
1,Oficialía Mayor,"Escritura Pública número 23,834, volumen 487 del 21 de enero de 2016, protocolizada anate la Notaría Pública número 18 del municipio de Pachuca de Soto, Hidalgo."
2,Oficialía Mayor,"Escritura Pública número 24422, Volumen 448 de fecha 13 de diciembre de 1999, Notaría Pública número 1 de Zimapan, Hidalgo."
3,Oficialía Mayor,"Escritura Pública número 31997, Volúmen 24 de fecha 10 de diciembre de 2013, Notaría Pública número 1 de Actopan, Hidalgo."
4,Oficialía Mayor,"Escritura Pública número 27,739 Volumen 1573 de fecha 08 de junio de 2016, ante la fe de la Lic. Lilia Reyes Morales de la Notaría Pública número 13 de Pachuca de Soto, Hidalgo."
5,Oficialía Mayor,"Escritura Pública número 13944 Volúmen 200 de fecha 19 de mayo de 1994, Notaría Pública número 1 de Zimapan, Hidalgo."
6,Oficialía Mayor,"Escritura Pública número 15252 Volúmen 298 de fecha 08 de febrero de 2002, Notaría Pública número 2 de Actopan, Hidalgo."
7,Oficialía Mayor,"Decreto 5 de marzo del 2012. Escritura Pública número 10,129 de fecha 30 de abril de 1996 ante la fe del Lic. Sergio Barragán Mejía, Notario número 2 de Actopan, Hidalgo."
8,Oficialía Mayor,"Escritura Pública número 9818 Volúmen 245 de fecha 11 de abril de 2016, Notaría Pública número 3 de Actopan, Hidalgo."
9,Oficialía Mayor,"Escritura Pública número 4142, Libro 75, Folios del 14980 del 14983 de fecha 02 de diciembre de 2014, ante el Lic. Lorena González González de la Notaría Pública número 1 de Tenango de Doria, Hidalgo."
10,Oficialía Mayor,"Escritura Pública número 18 de fecha 25 de junio de 1942, Notaría Pública número 5 de Apan, Hidalgo."
11,Oficialía Mayor,"Escritura Pública número 18,797 de fecha 11 de junio de 2014, Notaría Pública número 3 de Tula de Allende, Hidalgo."
12,Oficialía Mayor,"Escritura Pública número 16689 de Fecha 10 de julio de 2015, Notaría Pública número 15 de Pachuca de Soto, Hidalgo."
13,Oficialía Mayor,"Escritura Pública número 116690 de fecha 10 de julio de 2015, Ante la Notaría Pública número 15 de Pachuca de Soto, Hidalgo."
14,Oficialía Mayor,Título de Propiedad número 000000088782 de fecha 26 de octubre de 2005.
15,Oficialía Mayor,"Escritura Pública número 3659, Volumen 75, Folio 14846 de fecha 6 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
16,Oficialía Mayor,"Escritura Pública número 3681, Volumen 76, Folio 15,018 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
17,Oficialía Mayor,"Escritura Pública número 3777, Volumen 79, Folio 15696 de fecha 1 de julio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
18,Oficialía Mayor,"Escritura Pública número 3665, Volumen 75, folio 14895 de fecha 6 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
19,Oficialía Mayor,"Escritura Pública número 3721, Volumen 77, Folio 15345 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
20,Oficialía Mayor,"Escritura Pública número 3682, Volumen 76, Folio 15,027 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
21,Oficialía Mayor,"Escritura Pública número 3695, Volumen 76, Folio 15,136 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
22,Oficialía Mayor,"Escritura Pública número 3655, Volumen 75, Folio 14818 de fecha 2 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
23,Oficialía Mayor,"Escritura Pública número 3702, Volumen 76, Folio 15,179 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
24,Oficialía Mayor,"Escritura Pública número 3703, Volumen 76, Folio 15,188 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
25,Oficialía Mayor,"Escritura Pública número 3705, Volumen 77, Folio 15,201 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
26,Oficialía Mayor,"Escritura Pública número 3707, Volumen 77, Folio 15,219 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
27,Oficialía Mayor,"Escritura Pública número 3708, Volumen 77, Folio 15,228 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
28,Oficialía Mayor,"Escritura Pública número 3709, Volumen 77, Folio 15,237 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
29,Oficialía Mayor,"Escritura Pública número 3723, Volumen 77, Folio 15,372 de fecha 10 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
30,Oficialía Mayor,"Escritura Pública número 3697, Volumen 76, Folio 15,153 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
31,Oficialía Mayor,"Escritura Pública número 3658, Volumen 75, Folio 14,838 de fecha 6 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
32,Oficialía Mayor,"Escritura Pública número 3661, Volumen 75, Folio 14,862 de fecha 6 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
33,Oficialía Mayor,"Escritura Pública número 3724, Volumen 77, Folio 15,380 de fecha 10 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
34,Oficialía Mayor,"Escritura Pública número 3779, Volumen 79, Folio 15,714 de fecha 1 de julio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
35,Oficialía Mayor,"Escritura Pública número 3679, Volumen 75, Folio 15,001 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
36,Oficialía Mayor,"Escritura Pública número 3672, Volumen 75, Folio 14,952 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
37,Oficialía Mayor,"Escritura Pública número 3654, Volumen 75, Folio 14,809 de fecha 2 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
38,Oficialía Mayor,"Escritura Pública número 3715, Volumen 75, Folio 15,289 de fecha 9 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
39,Oficialía Mayor,"Escritura Pública número 3674, Volumen 75, Folio 14,967 de fecha 8 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
40,Oficialía Mayor,"Escritura Pública número 3809, Volumen 80, Folio 15,873 de fecha 21 de julio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
41,Oficialía Mayor,"Escritura Pública número 3663, Volumen 75, Folio 14,878 de fecha 6 de junio de 2017, protocolizada ante la Notaría número 11 de Tulancingo de Bravo, Hidalgo."
