ID_INMUEBLE,ID _ESTADO,ESTADO,NOMBRE_VIALIDAD,TIPO_VIALIDAD,NUMERO_EXTERIOR,NUMERO_INTERIOR,TIPO_ASENTAMIENTO,ID_LOCALIDAD,NOMBRE_LOCALIDAD,ID_MUNICIPIO,MUNICIPIO,CODIGO_POSTAL,NATURALEZA_INMUEBLE
1,13,Hidalgo,Acceso a la comunidad de Yemila,Carretera,sin número,sin número,Barrio,0001,Acaxochitlán,02,Acaxochitlán,43721,Rústica
2,13,Hidalgo,Pedro Moreno,Calle,sin número,sin número,Unidad habitacional,0001,Actopan,03,Actopan,42500,Urbana
3,13,Hidalgo,Comunidad Daxtha,Calle,sin número,sin número,Unidad habitacional,0012,El Daxtha,03,Actopan,42604,Urbana
4,13,Hidalgo,20 de noviembre esquina calle Pino Suárez,Calle,sin número,sin número,Unidad habitacional,0001,comunidad Cañada de Aviación,03,Actopan,42604,Urbana
5,13,Hidalgo,Chapultepec esquina con Cuauhtémoc.,Calle,60,sin número,Colonia,0001,Actopan,03,Actopan,42500,Urbana
6,13,Hidalgo,Central,Calle,sin número,sin número,Colonia,0001,Actopan,03,Actopan,42524,Urbana
7,13,Hidalgo,Sobre la carretera Actopan Tula,Carretera,sin número,sin número,Colonia,0001,Actopan,03,Actopan,42505,Urbana
8,13,Hidalgo,Melchor Ocampo y 24 de febrero,Calle,sin número,sin número,Colonia,0011,Dajiedhi,03,Actopan,42603,Urbana
9,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Ranchería,0002,Agua blanca,04,Agua Blanca de Iturbide,43468,Urbana
10,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Ranchería,0051,El Tepozán,07,Almoloya,43940,Urbana
11,13,Hidalgo,Lote 9 de la manzana 115 de la zona 4,Calle,lote 9,sin número,Pueblo,0151,Marañón,08,Apan,43900,Urbana
12,13,Hidalgo,Ex Rancho el Marañon,Carretera,sin número,sin número,Barrio,0001,Apan,08,Apan,43900,Rústica
13,13,Hidalgo,Domicilio conocido,Calle,sin número,sin número,Pueblo,0001,Apan,08,Apan,43900,Urbana
14,13,Hidalgo,"Lote número 50 de la manzana 20, zona 4",Calle,sin número,sin número,Ejido,0005,Tlalayote,08,Apan,43915,Urbana
15,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
16,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
17,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
18,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
19,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
20,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
21,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
22,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
23,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
24,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
25,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
26,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
27,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
28,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
29,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
30,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
31,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
32,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
33,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
34,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
35,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
36,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
37,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
38,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
39,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
40,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
41,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
42,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
43,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
44,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
45,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
46,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
47,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
48,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
49,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
50,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
51,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
52,13,Hidalgo,Ejido Tepetates,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43970,Rústica
53,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
54,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
55,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
56,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
57,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
58,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
59,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
60,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
61,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
62,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
63,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
64,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
65,13,Hidalgo,Ejido Acopinalco,Carretera,sin número,sin número,Ejido,0002,Apan,08,Apan,43920,Rústica
